# N,sepal_l,sepal_w,petal_l,petal_w,setosa,versicolor,virginica,predict,answer,true
1.000000000000000000e+00,5.099999999999999645e+00,3.500000000000000000e+00,1.399999999999999911e+00,2.000000000000000111e-01,9.824939497953606438e-01,1.767525268888693948e-02,7.360680272054174848e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,4.900000000000000355e+00,3.000000000000000000e+00,1.399999999999999911e+00,2.000000000000000111e-01,9.816204759079839581e-01,1.856329744064738954e-02,7.392098476626588616e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,4.700000000000000178e+00,3.200000000000000178e+00,1.300000000000000044e+00,2.000000000000000111e-01,9.822023074404843124e-01,1.797379046519896606e-02,7.388622875942675236e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,4.599999999999999645e+00,3.100000000000000089e+00,1.500000000000000000e+00,2.000000000000000111e-01,9.813019692661186788e-01,1.888818791275947637e-02,7.402828527200451883e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+00,3.600000000000000089e+00,1.399999999999999911e+00,2.000000000000000111e-01,9.825463300691881230e-01,1.762254232082471200e-02,7.360608865941279874e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.400000000000000355e+00,3.899999999999999911e+00,1.699999999999999956e+00,4.000000000000000222e-01,9.824693744643723248e-01,1.769871244928388626e-02,7.343085356173625379e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.599999999999999645e+00,3.399999999999999911e+00,1.399999999999999911e+00,2.999999999999999889e-01,9.821883737229960554e-01,1.798799674425576381e-02,7.382998922548273009e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+00,3.399999999999999911e+00,1.500000000000000000e+00,2.000000000000000111e-01,9.822260909528917061e-01,1.794713179423600494e-02,7.367624662979530351e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.400000000000000355e+00,2.899999999999999911e+00,1.399999999999999911e+00,2.000000000000000111e-01,9.808289484615733134e-01,1.937112012507493167e-02,7.429921568153833797e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,4.900000000000000355e+00,3.100000000000000089e+00,1.500000000000000000e+00,1.000000000000000056e-01,9.817042851823010174e-01,1.847749799067948187e-02,7.386681178053586608e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.400000000000000355e+00,3.700000000000000178e+00,1.500000000000000000e+00,2.000000000000000111e-01,9.825957481497282764e-01,1.757068017394109241e-02,7.347185332289990663e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,4.799999999999999822e+00,3.399999999999999911e+00,1.600000000000000089e+00,2.000000000000000111e-01,9.819131868988291156e-01,1.826545902159747506e-02,7.376062875459428111e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,4.799999999999999822e+00,3.000000000000000000e+00,1.399999999999999911e+00,1.000000000000000056e-01,9.817268072407051571e-01,1.845543007784159958e-02,7.395904543645118526e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,4.299999999999999822e+00,3.000000000000000000e+00,1.100000000000000089e+00,1.000000000000000056e-01,9.821978209487547407e-01,1.798393315022701888e-02,7.427364848081804971e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.799999999999999822e+00,4.000000000000000000e+00,1.199999999999999956e+00,2.000000000000000111e-01,9.827994705370314277e-01,1.736445947179432805e-02,7.336926759600501981e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.700000000000000178e+00,4.400000000000000355e+00,1.500000000000000000e+00,4.000000000000000222e-01,9.827966536659474839e-01,1.736657869885868330e-02,7.331087556937576806e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,5.400000000000000355e+00,3.899999999999999911e+00,1.300000000000000044e+00,4.000000000000000222e-01,9.827248053391521854e-01,1.744079386348800290e-02,7.344143330254756727e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
